"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00125925869647378,0.220588690457767,0.00570862764478339,0.756402923569318,7127
"2","{MARINA II}","{TER CENTRAL}",0.0012378793920998,0.201541913583798,0.00614204445163763,0.691091154039589,7006
"3","{VILA BELEM}","{TER CENTRAL}",0.00178313999786914,0.251834106902231,0.00708061358250177,0.863544066198559,10092
"4","{CONCEICAO}","{TER CENTRAL}",0.002674179931406,0.375735458404707,0.00711718809494319,1.28840421798683,15135
"5","{QUERO-QUERO}","{TER CENTRAL}",0.00171794195395181,0.230015850110004,0.00746879814208544,0.788728837953729,9723
"6","{JD. Giana}","{TER CENTRAL}",0.00292225053753049,0.353374783667714,0.00826955026954709,1.21172902802607,16539
"7","{DALCOL}","{TER CENTRAL}",0.00181282366014044,0.218726016884114,0.00828810255846666,0.750015779541929,10260
"8","{DOM BOSCO}","{SANTA PAULA}",0.00228475855256102,0.204675678242426,0.0111628238986699,3.46801019675058,12931
"9","{BARAUNA}","{TER CENTRAL}",0.00304381220207012,0.246653207909168,0.0123404525238976,0.84577866246486,17227
"10","{CAT. MIRO}","{TER CENTRAL}",0.00251639713135674,0.202975800245133,0.0123975228983835,0.696007979378412,14242
"11","{S.GABR-INCOP}","{TER CENTRAL}",0.00475380317505639,0.338389364726006,0.014048323235293,1.16034373408876,26905
"12","{UTFPR}","{SANTA MONICA}",0.00543299363797841,0.354096133029319,0.0153432730018787,6.75888572720303,30749
"13","{BARRETO}","{TER CENTRAL}",0.00592153724619364,0.346544789006194,0.0170873648487838,1.1883088430691,33514
"14","{CACHOEIRA}","{TER CENTRAL}",0.00351380352136579,0.204820021628302,0.0171555665966215,0.702331850484602,19887
"15","{JD ESPLANADA}","{TER CENTRAL}",0.00392018699293723,0.223722421651273,0.0175225485402971,0.767148548975266,22187
"16","{PIMENTEL}","{TER CENTRAL}",0.00627774119344931,0.316350879692286,0.0198442349822313,1.08477333890689,35530
"17","{PRINC.C.CLAU}","{TER CENTRAL}",0.00561109561160624,0.280471972232771,0.0200059049285304,0.961743865181239,31757
"18","{MARINA}","{TER CENTRAL}",0.00642032878543112,0.320550821291836,0.0200290511175634,1.0991750205984,36337
"19","{PQ PINHEIROS}","{TER CENTRAL}",0.00644683205531621,0.280509556098836,0.0229825755135583,0.961872740991288,36487
"20","{BORSATO}","{TER CENTRAL}",0.00463736547602788,0.200786437773494,0.0230960095086665,0.688500612745679,26246
"21","{TC-31 MARCO}","{TER CENTRAL}",0.00750996655464029,0.299378759491174,0.0250851682577758,1.0265756075878,42504
"22","{GUAIRA}","{TER CENTRAL}",0.00962068696828919,0.265752354922153,0.0362016997783797,0.911270010223092,54450
"23","{N.SRA.GRACAS}","{TER CENTRAL}",0.00996982337690883,0.224113689261004,0.0444855618136647,0.768490213243206,56426
"24","{N.PITANGUI}","{TER CENTRAL}",0.0167122552356768,0.371812006666876,0.0449481322173925,1.27495062542585,94586
"25","{Somente VT}","{TER CENTRAL}",0.0305644542738201,0.389904431321282,0.0783896047814726,1.33698990257397,172985
