"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{CONCEICAO}","{Somente VT}",0.0017665675036193,0.24047758398689,0.00734607972323776,1.07176859569921,10272
"2","{JD. Giana}","{Somente VT}",0.00209521922669333,0.27708788209607,0.00756156931455736,1.23493460536248,12183
"3","{DOM BOSCO}","{SANTA PAULA}",0.00256437773038039,0.220407378939277,0.0116347181420223,3.66485260886457,14911
"4","{S.GABR-INCOP}","{Somente VT}",0.00411046825389455,0.280396527451901,0.0146594834509841,1.24968068742091,23901
"5","{UTFPR}","{SANTA MONICA}",0.00514148190111006,0.343009247573372,0.0149893390265236,6.75375178893883,29896
"6","{BARRETO}","{Somente VT}",0.00463844354946613,0.270163875310522,0.0171689999047237,1.20407545871718,26971
"7","{MARINA}","{Somente VT}",0.00448349053926743,0.231400117164616,0.0193754894950114,1.03131183583279,26070
"8","{PIMENTEL}","{Somente VT}",0.00484722596276381,0.244778322984064,0.0198025131624069,1.09093627411251,28185
"9","{PRINC.C.CLAU}","{Somente VT}",0.00447695534016915,0.221157440445849,0.0202432951436936,0.985661929254914,26032
"10","{PQ PINHEIROS}","{Somente VT}",0.00560014969045514,0.231948372023449,0.0241439491107486,1.03375531655309,32563
"11","{TC-31 MARCO}","{Somente VT}",0.00559705406982963,0.222039529790616,0.0252074667745318,0.989593254755813,32545
"12","{N.PITANGUI}","{Somente VT}",0.0116921591025177,0.255650859426999,0.0457348711000769,1.139393360723,67986
