"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00108917310576962,0.207839934667211,0.00524044191754382,0.730695894349709,509
"2","{CONCEICAO}","{TER CENTRAL}",0.00248220196992684,0.367786937222574,0.0067490215630597,1.29301621199165,1160
"3","{VILA BELEM}","{TER CENTRAL}",0.00184881250173861,0.251528384279476,0.00735031359198163,0.8842899128106,864
"4","{QUERO-QUERO}","{TER CENTRAL}",0.00173968120823321,0.231294452347084,0.00752149993473521,0.81315415628131,813
"5","{DALCOL}","{TER CENTRAL}",0.00177819813535276,0.221363878529568,0.00803291913371151,0.778241570648458,831
"6","{JD. Giana}","{TER CENTRAL}",0.00297864236391221,0.352762290927522,0.00844376635632009,1.24019456643335,1392
"7","{DOM BOSCO}","{SANTA PAULA}",0.00221258348008996,0.20671731307477,0.0107034260806673,3.51008581379598,1034
"8","{BARAUNA}","{TER CENTRAL}",0.00288662970468216,0.238212961327918,0.0121178532376687,0.837477326491172,1349
"9","{CAT. MIRO}","{TER CENTRAL}",0.00264910865411158,0.208137188971083,0.0127277045837283,0.73174094134592,1238
"10","{S.GABR-INCOP}","{TER CENTRAL}",0.00469692527930122,0.333080424886191,0.0141014749843257,1.17099968945955,2195
"11","{UTFPR}","{SANTA MONICA}",0.00611135243630263,0.364657814096016,0.016759142955575,6.8535870616549,2856
"12","{CACHOEIRA}","{TER CENTRAL}",0.00361845131995369,0.211427856964241,0.0171143546167887,0.743309832551159,1691
"13","{BARRETO}","{TER CENTRAL}",0.00558923409090423,0.326214562258024,0.0171336130803484,1.14686160626777,2612
"14","{JD ESPLANADA}","{TER CENTRAL}",0.00401431973757134,0.222935234699941,0.0180066634283917,0.783765934886209,1876
"15","{PIMENTEL}","{TER CENTRAL}",0.0060321787527791,0.320741836386392,0.0188069595807646,1.127621327292,2819
"16","{MARINA}","{TER CENTRAL}",0.00605571687490772,0.309933194611762,0.0195387811960362,1.08962174756318,2830
"17","{PRINC.C.CLAU}","{TER CENTRAL}",0.00577325940936432,0.273408998783948,0.0211158353786535,0.961214856084213,2698
"18","{PQ PINHEIROS}","{TER CENTRAL}",0.00588453053215414,0.274286854179134,0.0214539284055918,0.964301102883329,2750
"19","{LONDRES}","{TC - TUV}",0.00494728530557832,0.209306536302734,0.0236365542756999,4.41381687156481,2312
"20","{TC-31 MARCO}","{TER CENTRAL}",0.00728825854273346,0.294611192803391,0.024738566357176,1.03575469919001,3406
"21","{GUAIRA}","{TER CENTRAL}",0.00921838455728002,0.254971590909091,0.0361545555895551,0.896395078989014,4308
"22","{N.SRA.GRACAS}","{TER CENTRAL}",0.00972552409768749,0.220491922573133,0.044108301039743,0.775176064308491,4545
"23","{N.PITANGUI}","{TER CENTRAL}",0.0163761135136639,0.364445925996476,0.0449342751435291,1.28127033076918,7653
"24","{Somente VT}","{TER CENTRAL}",0.0321594943155435,0.398435843054083,0.0807143606083107,1.40076754329019,15029
