"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{B.JESUS-JD.S}","{TER CENTRAL}",0.00106168799061087,0.207891852393131,0.00510692448207725,0.716441188822444,569
"2","{MARACANÃ}","{TER CENTRAL}",0.00122775166576793,0.222072224097199,0.00552861426393675,0.765309878213861,658
"3","{MARINA II}","{TER CENTRAL}",0.00138635180496288,0.219952634695086,0.0063029561200062,0.75800530550654,743
"4","{CONCEICAO}","{TER CENTRAL}",0.00256372460298653,0.382197496522949,0.00670785294595094,1.31713689411962,1374
"5","{VILA BELEM}","{TER CENTRAL}",0.00176139448705916,0.254378873618971,0.00692429548885228,0.876645720017217,944
"6","{QUERO-QUERO}","{TER CENTRAL}",0.001880811062453,0.240802675585284,0.00781059038435344,0.829859146387819,1008
"7","{JD. Giana}","{TER CENTRAL}",0.0030544520924956,0.37485688115411,0.00814831538663915,1.29183951405879,1637
"8","{DALCOL}","{TER CENTRAL}",0.00200582528981843,0.222705614253159,0.00900662202228238,0.767492680430981,1075
"9","{S.MARTIN-V.T}","{TER CENTRAL}",0.00212524186521227,0.227345309381238,0.00934807879254915,0.783482093460252,1139
"10","{DOM BOSCO}","{SANTA PAULA}",0.00230996438027462,0.209333784240785,0.0110348379199872,3.50681854814397,1238
"11","{BARAUNA}","{TER CENTRAL}",0.00305631797648613,0.24407688869021,0.0125219474604386,0.841142807110198,1638
"12","{STO. ANTONIO}","{TER CENTRAL}",0.0026458234985698,0.202340182648402,0.0130761150056256,0.697308910062707,1418
"13","{S.GABR-INCOP}","{TER CENTRAL}",0.00510132683010567,0.347969963090238,0.0146602505135846,1.19918126257029,2734
"14","{CACHOEIRA}","{TER CENTRAL}",0.00366459615739851,0.218878858798618,0.0167425770470147,0.754304836868936,1964
"15","{JD ESPLANADA}","{TER CENTRAL}",0.00398366231977893,0.234666959771378,0.0169758125458308,0.808714116020401,2135
"16","{UTFPR}","{SANTA MONICA}",0.00612942890888702,0.357414862365357,0.01714933975695,6.72798861723253,3285
"17","{BARRETO}","{TER CENTRAL}",0.00610517241701015,0.347752152194707,0.0175561024668852,1.19843063817046,3272
"18","{MARINA}","{TER CENTRAL}",0.0064522268392485,0.330940759881328,0.0194966218170351,1.14049487129884,3458
"19","{PRINC.C.CLAU}","{TER CENTRAL}",0.00589246164208986,0.302027543993879,0.0195096830049688,1.04085355046481,3158
"20","{PIMENTEL}","{TER CENTRAL}",0.00663321758632979,0.326506245407788,0.0203157448888773,1.12521255607243,3555
"21","{CASTANHEIRA}","{TER CENTRAL}",0.00413479892301176,0.201180208806173,0.0205527121556744,0.693311384286865,2216
"22","{BORSATO}","{TER CENTRAL}",0.00483077365147899,0.207985218508997,0.0232265239141022,0.71676294905632,2589
"23","{TC-31 MARCO}","{TER CENTRAL}",0.00731799701085385,0.309135335382675,0.0236724701878385,1.06534856772437,3922
"24","{PQ PINHEIROS}","{TER CENTRAL}",0.00696721082063444,0.292541523033532,0.0238161432551093,1.00816262941239,3734
"25","{GUAIRA}","{TER CENTRAL}",0.00986306277393509,0.268338494339814,0.0367560487294263,0.924753652817964,5286
"26","{N.SRA.GRACAS}","{TER CENTRAL}",0.00997688169735735,0.226577397347345,0.0440329962924885,0.78083569917332,5347
"27","{N.PITANGUI}","{TER CENTRAL}",0.0173993682116808,0.387476107371395,0.0449043641160655,1.33532815168002,9325
"28","{Somente VT}","{TER CENTRAL}",0.0194723653251583,0.364232863325422,0.0534613080966304,1.25522680473114,10436
