"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{C DE EVENTOS}","{TER CENTRAL}",0.000320903664719851,0.200892857142857,0.00159738713104993,0.605975746008756,135
"2","{B.JESUS-JD.S}","{TER CENTRAL}",0.00104353117638529,0.218843469591226,0.00476839075131868,0.660122199618002,439
"3","{MARACANÃ}","{TER CENTRAL}",0.00149992749954242,0.267486222975837,0.00560749440795651,0.806848813940574,631
"4","{VILA BELEM}","{TER CENTRAL}",0.00210370180205236,0.287617809554761,0.0073142264914295,0.867573985402634,885
"5","{QUERO-QUERO}","{TER CENTRAL}",0.0018755036404738,0.249446727790073,0.00751865401117696,0.752434253322117,789
"6","{CONCEICAO}","{TER CENTRAL}",0.00297608435725373,0.390639625585023,0.00761849070686758,1.17833028959378,1252
"7","{DALCOL}","{TER CENTRAL}",0.00179468345824806,0.224970202622169,0.00797742739851719,0.678602954343801,755
"8","{JD. Giana}","{TER CENTRAL}",0.0031591182993532,0.38600058088876,0.00818423198244776,1.16433701670909,1329
"9","{LAGOA DOURAD}","{TER CENTRAL}",0.00175189630295208,0.20979220039852,0.00835062647526546,0.632819837157817,737
"10","{MONT.LOBATO}","{TER CENTRAL}",0.00187074951210758,0.2,0.00935374756053788,0.603282520470939,787
"11","{Ouro Verde}","{TER CENTRAL}",0.00236993299056068,0.205736690053652,0.0115192530313511,0.620586744644579,997
"12","{MARIA OTILIA}","{TER CENTRAL}",0.00235804766964513,0.204451772464963,0.0115335154164498,0.616710903037069,992
"13","{UTFPR}","{SANTA MONICA}",0.00364879352107386,0.31551901336074,0.0115644172508302,6.20777977615235,1535
"14","{CAT. MIRO}","{TER CENTRAL}",0.00287624766156311,0.248459958932238,0.0115763025717457,0.749457751303733,1210
"15","{RONDA DUARTE}","{TER CENTRAL}",0.00266706601344943,0.227678571428571,0.0117141722943661,0.686772512143257,1122
"16","{DOM BOSCO}","{SANTA PAULA}",0.00242935959513843,0.206548100242522,0.0117617135780283,3.57580661097638,1022
"17","{BARAUNA}","{TER CENTRAL}",0.00357272746721434,0.298391899940441,0.0119732722903251,0.900073087420907,1503
"18","{STO. ANTONIO}","{TER CENTRAL}",0.00283108344208402,0.224378296910324,0.0126174566839479,0.676817522495185,1191
"19","{S.LUCIA-MEZO}","{TER CENTRAL}",0.00290952656012665,0.230248306997743,0.0126364731974128,0.694523894898824,1224
"20","{LEILA MARIA}","{TER CENTRAL}",0.0032066595830154,0.227717758271438,0.0140817282207437,0.686890715829927,1349
"21","{S.GABR-INCOP}","{TER CENTRAL}",0.00552905128991388,0.385674017575858,0.0143360740883365,1.16335196701658,2326
"22","{AMALIA V. CIPA}","{TER CENTRAL}",0.00329461095779047,0.20952380952381,0.0157242795712727,0.632010259540984,1386
"23","{BARRETO}","{TER CENTRAL}",0.00673897695911687,0.395232120451694,0.0170506813854481,1.19218314898586,2835
"24","{JD ESPLANADA}","{TER CENTRAL}",0.00430248617142912,0.250866250866251,0.0171505180811387,0.756716120618434,1810
"25","{SHANGR-TC}","{TER CENTRAL}",0.00386035223337065,0.223322332233223,0.017286010739576,0.673632297335537,1624
"26","{CACHOEIRA}","{TER CENTRAL}",0.00377002379441247,0.213804259908331,0.01763306211031,0.644921864024609,1586
"27","{RONDA PEIXOT}","{TER CENTRAL}",0.0039910907634417,0.219305120167189,0.0181988033858902,0.66151472823322,1679
"28","{COSTA RICA}","{TER CENTRAL}",0.00390789351703285,0.211175337186898,0.0185054446655114,0.636991948397061,1644
"29","{LONDRES}","{TER CENTRAL}",0.00395781186487816,0.210652834008097,0.0187883153033015,0.635415863223756,1665
"30","{PRINC.C.CLAU}","{TER CENTRAL}",0.00598307054888789,0.317362249401084,0.0188524960362455,0.957295488605065,2517
"31","{PIMENTEL}","{TER CENTRAL}",0.00699094576252653,0.354038762489467,0.0197462721690948,1.06792698489529,2941
"32","{CASTANHEIRA}","{TER CENTRAL}",0.00452593020464146,0.220625724217845,0.0205140639002394,0.665498214934338,1904
"33","{MARINA}","{TER CENTRAL}",0.00743070263640189,0.358280802292264,0.0207398849976348,1.08072272721614,3126
"34","{BORSATO}","{TER CENTRAL}",0.00521290175356025,0.23392,0.0222849767166563,0.70559923594281,2193
"35","{S.TEREZINHA}","{TER CENTRAL}",0.00485634212609375,0.205429864253394,0.023639903301029,0.619661231433951,2043
"36","{PQ PINHEIROS}","{TER CENTRAL}",0.00763750722033246,0.31456823967104,0.0242793335662856,0.948867602444257,3213
"37","{TC-31 MARCO}","{TER CENTRAL}",0.00856218518756225,0.336792893875643,0.0254227014383615,1.01590632947,3602
"38","{PARAISO}","{TER CENTRAL}",0.00554093661082943,0.208571939871152,0.0265660693104375,0.62913902792491,2331
"39","{PALMEIRINHA}","{TER CENTRAL}",0.00659635310813027,0.245553490841518,0.0268632023333262,0.740690644326545,2775
"40","{GUAIRA}","{TER CENTRAL}",0.0110438401947291,0.316377255703098,0.0349071875289705,0.95432434120122,4646
"41","{N.PITANGUI}","{TER CENTRAL}",0.0179373263257481,0.394851132855424,0.0454280736034154,1.19103393319913,7546
"42","{N.SRA.GRACAS}","{TER CENTRAL}",0.0118425337602541,0.259993737605678,0.045549303876754,0.784248386647067,4982
"43","{SANTA PAULA}","{TER CENTRAL}",0.0121943392593543,0.211111111111111,0.0577626596495732,0.636798216052658,5130
"44","{Somente VT}","{TER CENTRAL}",0.038527456279847,0.4182062132315,0.0921254994806115,1.26148249197453,16208
