"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00126247384516337,0.208298755186722,0.00606088041203927,0.721979852184052,502
"2","{VILA BELEM}","{TER CENTRAL}",0.00171263882182521,0.237364935517602,0.00721521406727829,0.822725517034676,681
"3","{DALCOL}","{TER CENTRAL}",0.00151396265894093,0.203241053342336,0.00744909866409142,0.70444946019142,602
"4","{CONCEICAO}","{TER CENTRAL}",0.0026833856430066,0.348692810457516,0.00769555770159343,1.20859667896761,1067
"5","{QUERO-QUERO}","{TER CENTRAL}",0.0017855705778207,0.229624838292367,0.00777603412200225,0.795897731887541,710
"6","{JD. Giana}","{TER CENTRAL}",0.00297008289071302,0.35316985645933,0.00840978593272171,1.22411447218588,1181
"7","{BARAUNA}","{TER CENTRAL}",0.00335737566393047,0.257821552723059,0.0130220907774022,0.893629759611365,1335
"8","{S.GABR-INCOP}","{TER CENTRAL}",0.00435578625462739,0.322833178005592,0.0134923748591663,1.11896516101428,1732
"9","{BARRETO}","{TER CENTRAL}",0.00600555287300821,0.353725374018664,0.0169780098181233,1.22603993969534,2388
"10","{JD ESPLANADA}","{TER CENTRAL}",0.00389304683727668,0.206896551724138,0.0188163930468373,0.717119704807075,1548
"11","{PIMENTEL}","{TER CENTRAL}",0.00643811363270562,0.314650934119961,0.0204611298889425,1.09060486080132,2560
"12","{MARINA}","{TER CENTRAL}",0.00641799452760341,0.308100929614874,0.0208308184451956,1.06790203053165,2552
"13","{PRINC.C.CLAU}","{TER CENTRAL}",0.00572640028971511,0.273250930037201,0.0209565628520843,0.94710919371826,2277
"14","{PQ PINHEIROS}","{TER CENTRAL}",0.00581190648639949,0.260953026196929,0.022271849348141,0.904483692721796,2311
"15","{TC-31 MARCO}","{TER CENTRAL}",0.0078539956542733,0.287887168141593,0.02728150651859,0.997839545004645,3123
"16","{PALMEIRINHA}","{TER CENTRAL}",0.00563334942861742,0.202038423378732,0.0278825647835184,0.700281050243041,2240
"17","{GUAIRA}","{TER CENTRAL}",0.00890521889586351,0.246416144745999,0.0361389425398358,0.854097719403082,3541
"18","{N.PITANGUI}","{TER CENTRAL}",0.0161154031868662,0.350125669325757,0.0460274826975696,1.21356308038929,6408
"19","{N.SRA.GRACAS}","{TER CENTRAL}",0.01044684532432,0.222186563970903,0.0470183486238532,0.770116088640075,4154
"20","{Somente VT}","{TER CENTRAL}",0.036528750201191,0.388649559842667,0.0939889143730887,1.34708991186757,14525
