"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00134593705898555,0.238190954773869,0.00565066402401106,0.783508123644882,474
"2","{VILA BELEM}","{TER CENTRAL}",0.00216088207149368,0.290015243902439,0.00745092582864574,0.953979548862957,761
"3","{QUERO-QUERO}","{TER CENTRAL}",0.00176050838939038,0.216178521617852,0.00814377106576067,0.711100167535453,620
"4","{CONCEICAO}","{TER CENTRAL}",0.00300990143992549,0.356063150822976,0.00845327979873414,1.17123830947001,1060
"5","{LAGOA DOURAD}","{TER CENTRAL}",0.00171223638516516,0.201739712278354,0.00848735415465782,0.663604978543089,603
"6","{JD. Giana}","{TER CENTRAL}",0.00327681722799436,0.356392835083385,0.00919439704007428,1.17232277674759,1154
"7","{BARAUNA}","{TER CENTRAL}",0.00323138475342944,0.276953029934291,0.0116676273742017,0.911012548850097,1138
"8","{CAT. MIRO}","{TER CENTRAL}",0.00291051790181474,0.214659685863874,0.0135587541279662,0.706104091371042,1025
"9","{S.GABR-INCOP}","{TER CENTRAL}",0.00499473267248013,0.353638922396462,0.0141238205303673,1.16326402401678,1759
"10","{COSTA RICA}","{TER CENTRAL}",0.00298434567298273,0.201804915514593,0.0147882704708792,0.663819458834037,1051
"11","{LEILA MARIA}","{TER CENTRAL}",0.00332508923221957,0.212561263387185,0.0156429688986316,0.699201515835013,1171
"12","{BARRETO}","{TER CENTRAL}",0.00583239392227072,0.358026843297891,0.0162903816611816,1.1776977025561,2054
"13","{S.FRANC-SERR}","{TER CENTRAL}",0.0037765744482084,0.201484623541888,0.0187437352876869,0.662765886657919,1330
"14","{JD ESPLANADA}","{TER CENTRAL}",0.00398386011341081,0.204937189599766,0.0194394200544622,0.674122797991251,1403
"15","{PRINC.C.CLAU}","{TER CENTRAL}",0.00538942729526281,0.273329493087558,0.0197176939611723,0.899093244196244,1898
"16","{CASTANHEIRA}","{TER CENTRAL}",0.0041769481303117,0.203289110005528,0.0205468366219819,0.668701585621012,1471
"17","{PIMENTEL}","{TER CENTRAL}",0.00701931732027907,0.334506089309878,0.0209841241896692,1.10032825819011,2472
"18","{BORSATO}","{TER CENTRAL}",0.00458584040139591,0.208252740167634,0.0220205525156813,0.685029008962804,1615
"19","{PQ PINHEIROS}","{TER CENTRAL}",0.00602264240951129,0.264760953688678,0.0227474721087199,0.870907790079537,2121
"20","{MARINA}","{TER CENTRAL}",0.00673536435424836,0.292803357610172,0.0230030297781475,0.963150802833234,2372
"21","{PALMEIRINHA}","{TER CENTRAL}",0.00587214733751501,0.206078724464375,0.0284946801411814,0.677877776179628,2068
"22","{TC-31 MARCO}","{TER CENTRAL}",0.00915464362482998,0.299155609167672,0.0306016111491293,0.984045973699242,3224
"23","{GUAIRA}","{TER CENTRAL}",0.0101144046500138,0.269807604908347,0.0374874705753739,0.887508303862972,3562
"24","{N.PITANGUI}","{TER CENTRAL}",0.0169150781864492,0.359266630480671,0.0470822412975515,1.18177587307362,5957
"25","{N.SRA.GRACAS}","{TER CENTRAL}",0.0113978720564726,0.229607596384853,0.0496406575214881,0.755273923768004,4014
"26","{Somente VT}","{TER CENTRAL}",0.0403184816467,0.395339124624123,0.101984547279589,1.3004331588986,14199
