"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.0012886188637467,0.242217484008529,0.00532009020332046,0.801919128688849,568
"2","{QUERO-QUERO}","{TER CENTRAL}",0.00160623618931808,0.221735045411838,0.00724394371820991,0.7341070986031,708
"3","{VILA BELEM}","{TER CENTRAL}",0.00201687001737821,0.270953977445901,0.00744358889428334,0.897058188832248,889
"4","{DALCOL}","{TER CENTRAL}",0.0017537013761905,0.230884109916368,0.00759559147152107,0.764397273013186,773
"5","{CONCEICAO}","{TER CENTRAL}",0.00301509589774537,0.393078970718722,0.00767045841254861,1.30138229696733,1329
"6","{UTFPR}","{SANTA MONICA}",0.00202594479810882,0.2531179138322,0.00800395660439854,5.1919503138715,893
"7","{JD. Giana}","{TER CENTRAL}",0.00291073591934335,0.350929978118162,0.00829434958777809,1.161837938476,1283
"8","{LAGOA DOURAD}","{TER CENTRAL}",0.00183310570758334,0.206914212548015,0.00885925468825859,0.685039173447947,808
"9","{DOM BOSCO}","{SANTA PAULA}",0.00250463948164852,0.216046966731898,0.011593032383355,3.6935040177644,1104
"10","{BARAUNA}","{TER CENTRAL}",0.00306046980139842,0.259024577572965,0.011815364511255,0.857563046724551,1349
"11","{RONDA DUARTE}","{TER CENTRAL}",0.00237078646587202,0.20034509202454,0.0118335140727162,0.663290522940736,1045
"12","{CAT. MIRO}","{TER CENTRAL}",0.00251144556719648,0.200289487968156,0.0125390782745212,0.663106432363504,1107
"13","{LEILA MARIA}","{TER CENTRAL}",0.00284040636868112,0.205954926797171,0.0137913980153455,0.681863227679086,1252
"14","{S.GABR-INCOP}","{TER CENTRAL}",0.00482551465350219,0.34846002621232,0.0138481153949118,1.15366056974334,2127
"15","{BARRETO}","{TER CENTRAL}",0.00616858220163255,0.356263102725367,0.017314681634005,1.17949452778336,2719
"16","{JD ESPLANADA}","{TER CENTRAL}",0.00407911393840946,0.235463593504453,0.0173237564147356,0.779558752804101,1798
"17","{CACHOEIRA}","{TER CENTRAL}",0.00360268795005241,0.201522842639594,0.0178773180393029,0.667189749088274,1588
"18","{PRINC.C.CLAU}","{TER CENTRAL}",0.00534504585032964,0.284026522001206,0.0188188265401037,0.940337985839664,2356
"19","{RONDA PEIXOT}","{TER CENTRAL}",0.00383636355386563,0.200998454772376,0.0190865325716567,0.665453637166809,1691
"20","{PIMENTEL}","{TER CENTRAL}",0.00644990040428148,0.326144315704944,0.0197762159071831,1.07977905289331,2843
"21","{MARINA}","{TER CENTRAL}",0.00666769514181614,0.328489996646921,0.0202980157991933,1.08754499276702,2939
"22","{CASTANHEIRA}","{TER CENTRAL}",0.00439899995916349,0.207579488277486,0.0211918817011584,0.687241728459609,1939
"23","{PQ PINHEIROS}","{TER CENTRAL}",0.00635461520661007,0.280156031206241,0.0226824144361612,0.927523796894548,2801
"24","{BORSATO}","{TER CENTRAL}",0.00510002677060316,0.216299432310209,0.023578549033309,0.71611119653108,2248
"25","{TC-31 MARCO}","{TER CENTRAL}",0.00804706181286895,0.308113273106324,0.0261172189426973,1.02008295775293,3547
"26","{GUAIRA}","{TER CENTRAL}",0.0102295465785808,0.282341891045711,0.0362310620669628,0.934760610640997,4509
"27","{N.PITANGUI}","{TER CENTRAL}",0.0174530720401468,0.378276048581403,0.0461384539296069,1.25237366957201,7693
"28","{N.SRA.GRACAS}","{TER CENTRAL}",0.0106197621499971,0.228241259934663,0.0465286695010232,0.755647483693643,4681
"29","{Somente VT}","{TER CENTRAL}",0.0326782854109288,0.387829833064082,0.0842593390837194,1.28400376662875,14404
