"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00120219355908515,0.207072424345461,0.00580566708911235,0.742285119910396,609
"2","{MARINA II}","{TER CENTRAL}",0.00134629886255513,0.20920245398773,0.00643538752482362,0.749920561053379,682
"3","{VILA BELEM}","{TER CENTRAL}",0.00160687283595289,0.236490412550843,0.00679466376087205,0.847738730991533,814
"4","{CONCEICAO}","{TER CENTRAL}",0.00277155953523079,0.397058823529412,0.00698022401465531,1.42332257598582,1404
"5","{QUERO-QUERO}","{TER CENTRAL}",0.00170754914385657,0.232777179763186,0.00733555216019772,0.83442803810834,865
"6","{JD. Giana}","{TER CENTRAL}",0.00279524807826695,0.335783732511264,0.00832454883195742,1.20367194685113,1416
"7","{DALCOL}","{TER CENTRAL}",0.00197009716250735,0.21958195819582,0.00897203567494581,0.787127598881161,998
"8","{LAGOA DOURAD}","{TER CENTRAL}",0.00183586208530244,0.200086058519793,0.00917536233600619,0.717241343989795,930
"9","{S.MARTIN-V.T}","{TER CENTRAL}",0.00192666816694106,0.206386128145485,0.00933526000150028,0.739824978446833,976
"10","{DOM BOSCO}","{SANTA PAULA}",0.00228594440298949,0.206270039187745,0.0110822900504171,3.50065458914847,1158
"11","{BARAUNA}","{TER CENTRAL}",0.00267483131783313,0.225382568196939,0.0118679600611164,0.807920838269963,1355
"12","{S.GABR-INCOP}","{TER CENTRAL}",0.00444554990978613,0.314569073893002,0.0141321899663228,1.12762451819861,2252
"13","{JD ESPLANADA}","{TER CENTRAL}",0.00363224326554462,0.215911757803333,0.01682281364618,0.773971162687188,1840
"14","{BARRETO}","{TER CENTRAL}",0.00547797557711213,0.31783300881915,0.0172353891040598,1.13932462909312,2775
"15","{UTFPR}","{SANTA MONICA}",0.00703549728173969,0.385756034202836,0.0182382040925906,7.11009959504684,3564
"16","{PIMENTEL}","{TER CENTRAL}",0.00541085803850967,0.286445814609677,0.018889639026085,1.02681207561781,2741
"17","{MARINA}","{TER CENTRAL}",0.00599517543340164,0.316255336873894,0.0189567565646875,1.13366920484836,3037
"18","{PRINC.C.CLAU}","{TER CENTRAL}",0.00509895888853356,0.254758851957787,0.0200148448203027,0.913224952919068,2583
"19","{PQ PINHEIROS}","{TER CENTRAL}",0.00618468377769092,0.270319240724763,0.0228791844824251,0.96900372248849,3133
"20","{TC-31 MARCO}","{TER CENTRAL}",0.00692495074757094,0.277993501862271,0.0249104770477758,0.996513372151816,3508
"21","{GUAIRA}","{TER CENTRAL}",0.00961162633692215,0.261746048811956,0.0367211897965549,0.938271707797842,4869
"22","{N.SRA.GRACAS}","{TER CENTRAL}",0.00860486325788532,0.210478029937228,0.0408824771899071,0.754493072577408,4359
"23","{N.PITANGUI}","{TER CENTRAL}",0.0165997465325895,0.368670261738787,0.0450259981759822,1.32155911298757,8409
"24","{Somente VT}","{TER CENTRAL}",0.0296343673382369,0.382763895971443,0.0774220548231848,1.37208005999163,15012
