"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00123708114342682,0.205998182368979,0.00600530125654698,0.729516012310268,680
"2","{CONCEICAO}","{TER CENTRAL}",0.00249417389358555,0.373773173391494,0.00667296122660234,1.32366951895095,1371
"3","{VILA BELEM}","{TER CENTRAL}",0.001695528861285,0.246691371095818,0.00687307729392138,0.873625695351155,932
"4","{QUERO-QUERO}","{TER CENTRAL}",0.00156636303601543,0.225215799110646,0.00695494295782463,0.797572725094152,861
"5","{JD. Giana}","{TER CENTRAL}",0.00290532145007741,0.343810548977395,0.00845035575179058,1.21756074639017,1597
"6","{DALCOL}","{TER CENTRAL}",0.00195022203787288,0.221259029927761,0.00881420314691612,0.783560337010259,1072
"7","{BARAUNA}","{TER CENTRAL}",0.00285438281475983,0.22611327280588,0.0126236853738805,0.800751012512862,1569
"8","{S.GABR-INCOP}","{TER CENTRAL}",0.00452626159536167,0.328188893285846,0.0137916355122335,1.16223866619157,2488
"9","{CACHOEIRA}","{TER CENTRAL}",0.00339105772257,0.203315881326353,0.0166787645925546,0.720016988882344,1864
"10","{JD ESPLANADA}","{TER CENTRAL}",0.00390408254969701,0.228638397613467,0.0170753582532414,0.809693416562413,2146
"11","{BARRETO}","{TER CENTRAL}",0.00574696960600785,0.334391870435059,0.0171863317087547,1.18420571028053,3159
"12","{S.FRANC-SERR}","{TER CENTRAL}",0.00362210081847472,0.201212733703891,0.0180013498738359,0.712568962646414,1991
"13","{MARINA}","{TER CENTRAL}",0.00601075896747386,0.317204301075269,0.0189491723381379,1.12333814865224,3304
"14","{PIMENTEL}","{TER CENTRAL}",0.00599074736074196,0.307987280209502,0.0194512817434112,1.09069725721306,3293
"15","{UTFPR}","{SANTA MONICA}",0.00728422485041324,0.362878375928947,0.0200734607890758,6.84936984269622,4004
"16","{PRINC.C.CLAU}","{TER CENTRAL}",0.00555776896054257,0.267888460189407,0.0207465784700581,0.948692454340527,3055
"17","{PQ PINHEIROS}","{TER CENTRAL}",0.00625089824825672,0.280306738456518,0.0223002068472441,0.992670186265147,3436
"18","{LONDRES}","{TC - TUV}",0.00483371264424275,0.201181191792231,0.0240266627371148,4.3991359171591,2657
"19","{TC-31 MARCO}","{TER CENTRAL}",0.00703135091080099,0.286444823241681,0.0245469645121443,1.01440742241063,3865
"20","{GUAIRA}","{TER CENTRAL}",0.00935451652867754,0.26234693877551,0.0356570447223026,0.929067870484942,5142
"21","{N.SRA.GRACAS}","{TER CENTRAL}",0.00931631255218936,0.213002246069379,0.0437380953680407,0.754320001170375,5121
"22","{N.PITANGUI}","{TER CENTRAL}",0.0166587529858227,0.37522537288969,0.044396659153218,1.32881229630374,9157
"23","{Somente VT}","{TER CENTRAL}",0.0291441763495555,0.380612972202423,0.0765716843041691,1.34789178487666,16020
