"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARINA II}","{TER CENTRAL}",0.00127626402712061,0.203115983843047,0.00628342488352278,0.722746001171861,704
"2","{CONCEICAO}","{TER CENTRAL}",0.00249995467812404,0.360522875816993,0.00693424702235275,1.28284570173984,1379
"3","{VILA BELEM}","{TER CENTRAL}",0.00159170428382372,0.22840790842872,0.0069686916480847,0.812742056678555,878
"4","{QUERO-QUERO}","{TER CENTRAL}",0.00177661753775312,0.239316239316239,0.00742372328275412,0.851557084325548,980
"5","{DALCOL}","{TER CENTRAL}",0.00180743641340802,0.21664493698392,0.00834285092728558,0.770885968286233,997
"6","{JD. Giana}","{TER CENTRAL}",0.00294773481263936,0.344783715012723,0.00854951868167727,1.22684117015222,1626
"7","{BARAUNA}","{TER CENTRAL}",0.00289516143652218,0.226171930321484,0.0128007106470151,0.804785793438527,1597
"8","{S.GABR-INCOP}","{TER CENTRAL}",0.00444154384438281,0.317645533514845,0.0139827051721325,1.13027559325591,2450
"9","{CACHOEIRA}","{TER CENTRAL}",0.00350428744946611,0.203152916447714,0.017249505991552,0.722877418167368,1933
"10","{BARRETO}","{TER CENTRAL}",0.00598430050216639,0.344464155274966,0.0173727814941716,1.22570408326113,3301
"11","{UTFPR}","{SANTA MONICA}",0.00635231413498668,0.357150137600652,0.017786117002955,6.87083972384807,3504
"12","{JD ESPLANADA}","{TER CENTRAL}",0.00366019470277914,0.201879812018798,0.0181305632602745,0.718347340732476,2019
"13","{PIMENTEL}","{TER CENTRAL}",0.0058700893747394,0.304208944006013,0.0192962419100451,1.08246428292397,3238
"14","{MARINA}","{TER CENTRAL}",0.00611301462990156,0.31184685101267,0.0196026177915556,1.10964218710432,3372
"15","{PRINC.C.CLAU}","{TER CENTRAL}",0.00569424049600261,0.267592434827057,0.02127952720219,0.952172047496488,3141
"16","{LONDRES}","{TC - TUV}",0.00455031634669422,0.210059419198259,0.0216620438353184,4.52461541739044,2510
"17","{PQ PINHEIROS}","{TER CENTRAL}",0.0058320189989304,0.259435483870968,0.0224796504776926,0.923147233330094,3217
"18","{TC-31 MARCO}","{TER CENTRAL}",0.00727869327967223,0.297959183673469,0.0244284911441054,1.06022581009104,4015
"19","{GUAIRA}","{TER CENTRAL}",0.00917314769492939,0.249322493224932,0.0367922989068364,0.887162258583062,5060
"20","{N.SRA.GRACAS}","{TER CENTRAL}",0.00945958195101612,0.219548112929692,0.0430866010405903,0.781216316325837,5218
"21","{N.PITANGUI}","{TER CENTRAL}",0.0162415474701329,0.366451243455497,0.0443211689418248,1.30394056548782,8959
"22","{Somente VT}","{TER CENTRAL}",0.0306774714018963,0.383327670177823,0.0800293685756241,1.36399182140993,16922
