"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00134471638520314,0.225783972125436,0.00595576547150156,0.770367866035357,648
"2","{MARINA II}","{TER CENTRAL}",0.00133226530756237,0.221914967162115,0.00600349460245784,0.757166941854533,642
"3","{VILA BELEM}","{TER CENTRAL}",0.00157713650116418,0.239144115796098,0.00659492079039441,0.815952259261358,760
"4","{CONCEICAO}","{TER CENTRAL}",0.00260227522692089,0.376689696605587,0.00690827291102045,1.28525348810117,1254
"5","{JD. Giana}","{TER CENTRAL}",0.00267698169276551,0.353327855382087,0.00757648074440843,1.20554361498402,1290
"6","{QUERO-QUERO}","{TER CENTRAL}",0.00173900051049418,0.226608977825852,0.00767401418592779,0.773182759736242,838
"7","{DALCOL}","{TER CENTRAL}",0.00183238359279996,0.219925280199253,0.0083318461212818,0.7503781920366,883
"8","{S.MARTIN-V.T}","{TER CENTRAL}",0.0018157821559456,0.201056985294118,0.0090311816487717,0.686000158711367,875
"9","{DOM BOSCO}","{SANTA PAULA}",0.00238438136820742,0.213330857779428,0.0111769173621977,3.59771658612366,1149
"10","{CAT. MIRO}","{TER CENTRAL}",0.00249021552815396,0.215633423180593,0.011548374511814,0.73573450984043,1200
"11","{BARAUNA}","{TER CENTRAL}",0.00306711545884296,0.246087246087246,0.0124635287184106,0.839642003115388,1478
"12","{STO. ANTONIO}","{TER CENTRAL}",0.00265830507630435,0.203656597774245,0.0130528797267403,0.694869955358057,1281
"13","{S.GABR-INCOP}","{TER CENTRAL}",0.00465047749882752,0.332,0.014007462345866,1.13277363807582,2241
"14","{CACHOEIRA}","{TER CENTRAL}",0.00351742943351747,0.212034025519139,0.016588985776719,0.723453477358964,1695
"15","{BARRETO}","{TER CENTRAL}",0.0060615996314481,0.359729064039409,0.0168504584071751,1.22738433913714,2921
"16","{JD ESPLANADA}","{TER CENTRAL}",0.00404867541285698,0.235003613587087,0.0172281410956118,0.801824994951833,1951
"17","{RONDA PEIXOT}","{TER CENTRAL}",0.00398019448583275,0.211024315106172,0.0188613074461595,0.720008376943604,1918
"18","{PRINC.C.CLAU}","{TER CENTRAL}",0.00563618781205513,0.291166380789022,0.0193572753721835,0.99345060377033,2716
"19","{UTFPR}","{SANTA MONICA}",0.00749762391935022,0.383708581138488,0.0195398911775814,7.00101447618421,3613
"20","{MARINA}","{TER CENTRAL}",0.00649323698966146,0.326583863897297,0.0198822958127026,1.11429395073433,3129
"21","{PIMENTEL}","{TER CENTRAL}",0.00642475606263722,0.319735619126304,0.0200939641325957,1.09092795331364,3096
"22","{CASTANHEIRA}","{TER CENTRAL}",0.0044139070236529,0.209000687825489,0.0211191028583524,0.713103823820564,2127
"23","{LONDRES}","{TC - TUV}",0.00456954549416252,0.206663538244955,0.0221110387104004,4.66259028000883,2202
"24","{BORSATO}","{TER CENTRAL}",0.00464010160079355,0.204182266459684,0.0227252918740117,0.696663520506332,2236
"25","{TC-31 MARCO}","{TER CENTRAL}",0.00719049733754456,0.307644499689248,0.0233727479113317,1.04967343116568,3465
"26","{PQ PINHEIROS}","{TER CENTRAL}",0.00713861784737469,0.296372878435427,0.0240866096960692,1.01121501124187,3440
"27","{GUAIRA}","{TER CENTRAL}",0.00969523912294609,0.270542590769587,0.0358362766297423,0.923082875905188,4672
"28","{N.PITANGUI}","{TER CENTRAL}",0.0164810764371656,0.372042910010774,0.0442988590662522,1.26939879726873,7942
"29","{N.SRA.GRACAS}","{TER CENTRAL}",0.0101725304325089,0.229172510518934,0.0443880917893444,0.781929453275607,4902
"30","{Somente VT}","{TER CENTRAL}",0.0277098732895332,0.394184501845018,0.0702967091801795,1.34494521755447,13353
