"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.001244275940618,0.224174279690794,0.00555048483855617,0.779488366920938,638
"2","{MARINA II}","{TER CENTRAL}",0.00135934221098863,0.213345576981941,0.00637155093730253,0.741835306087915,697
"3","{CONCEICAO}","{TER CENTRAL}",0.00256656291199576,0.371961560203505,0.00690007567069984,1.29336741717342,1316
"4","{QUERO-QUERO}","{TER CENTRAL}",0.00162067916403379,0.231347438752784,0.0070053905622255,0.804430541601311,831
"5","{VILA BELEM}","{TER CENTRAL}",0.00181375646516417,0.2491961414791,0.00727842916988462,0.866493219616752,930
"6","{JD. Giana}","{TER CENTRAL}",0.00288640813811073,0.351293615001187,0.00821651181477061,1.22150180049524,1480
"7","{S.MARTIN-V.T}","{TER CENTRAL}",0.0018059553620882,0.203605980650836,0.00886985419738351,0.707969235238601,926
"8","{DALCOL}","{TER CENTRAL}",0.0018995685989999,0.209913793103448,0.00904927956813094,0.729902466982727,974
"9","{CAT. MIRO}","{TER CENTRAL}",0.00225646906472575,0.200173010380623,0.0112725939447838,0.696032270867367,1157
"10","{DOM BOSCO}","{SANTA PAULA}",0.00252560712084689,0.223507076285813,0.0112998978055497,3.72825421618784,1295
"11","{BARAUNA}","{TER CENTRAL}",0.00309703792116205,0.246928937956772,0.0125422234703987,0.858609805098662,1588
"12","{S.GABR-INCOP}","{TER CENTRAL}",0.00477037453095868,0.343684136574399,0.0138801126479284,1.1950424764363,2446
"13","{BARRETO}","{TER CENTRAL}",0.00568310359084775,0.343227326266196,0.0165578412787568,1.19345407690347,2914
"14","{CACHOEIRA}","{TER CENTRAL}",0.00342663452612199,0.206900612341027,0.0165617418302948,0.719425175140964,1757
"15","{JD ESPLANADA}","{TER CENTRAL}",0.00383814271337967,0.226441146013117,0.0169498467083246,0.787370608942872,1968
"16","{UTFPR}","{SANTA MONICA}",0.00746175509217003,0.378886908298673,0.0196938847152987,6.83989383009992,3826
"17","{PRINC.C.CLAU}","{TER CENTRAL}",0.00580987151583234,0.294193166107051,0.0197484924368306,1.02295477841789,2979
"18","{PIMENTEL}","{TER CENTRAL}",0.00628378852769782,0.30779518532671,0.0204154867498264,1.07025108628596,3222
"19","{MARINA}","{TER CENTRAL}",0.00665239064803763,0.325601374570447,0.0204310889559784,1.13216593839937,3411
"20","{CASTANHEIRA}","{TER CENTRAL}",0.00432571165562811,0.20116089243606,0.0215037406289249,0.699467288350931,2218
"21","{BORSATO}","{TER CENTRAL}",0.00459484971174924,0.201695060354422,0.0227811712576158,0.701324672163737,2356
"22","{LONDRES}","{TC - TUV}",0.0046065513663632,0.202035753998802,0.0228006740153058,4.48145997540137,2362
"23","{PQ PINHEIROS}","{TER CENTRAL}",0.00680451215801914,0.287871287128713,0.0236373423202041,1.0009726352055,3489
"24","{TC-31 MARCO}","{TER CENTRAL}",0.00711265572952015,0.298347513089005,0.0238401710001794,1.0374000803011,3647
"25","{GUAIRA}","{TER CENTRAL}",0.00939642865501182,0.262375428851495,0.035812913946032,0.912319623989545,4818
"26","{N.SRA.GRACAS}","{TER CENTRAL}",0.00959730705921817,0.220277529095792,0.0435691606793201,0.765938767199748,4921
"27","{N.PITANGUI}","{TER CENTRAL}",0.0160215154422835,0.367315001117818,0.0436179175735449,1.2772106182824,8215
"28","{Somente VT}","{TER CENTRAL}",0.0275164408247326,0.383688676166649,0.0717155405774376,1.33414439874067,14109
