"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{MARACANÃ}","{TER CENTRAL}",0.00127416738583325,0.228432563791009,0.00557787105606788,0.79339202716136,564
"2","{MARINA II}","{TER CENTRAL}",0.00124027995535896,0.218203497615262,0.00568405167155399,0.757864432432931,549
"3","{CONCEICAO}","{TER CENTRAL}",0.00264096041496288,0.38798539661467,0.00680685520126875,1.34755095867481,1169
"4","{VILA BELEM}","{TER CENTRAL}",0.0017034081718409,0.242990654205607,0.00701017978411448,0.843955189759335,754
"5","{QUERO-QUERO}","{TER CENTRAL}",0.00158141342213346,0.21021021021021,0.00752300956529204,0.730102144986997,700
"6","{JD. Giana}","{TER CENTRAL}",0.00260707298448859,0.342738342738343,0.00760659856046195,1.19039888192071,1154
"7","{DALCOL}","{TER CENTRAL}",0.00194739767125578,0.226128016789087,0.00861192566453251,0.785387874044137,862
"8","{S.MARTIN-V.T}","{TER CENTRAL}",0.00188640029640206,0.205969412925506,0.00915864287618437,0.715373006992598,835
"9","{DOM BOSCO}","{SANTA PAULA}",0.00236760180913695,0.201771274547555,0.0117340875922303,3.45382422012757,1048
"10","{BARAUNA}","{TER CENTRAL}",0.00300016717799034,0.24198250728863,0.0123982812295263,0.840453693681617,1328
"11","{S.GABR-INCOP}","{TER CENTRAL}",0.00486849417813944,0.343809827696235,0.0141604276141893,1.19412036369506,2155
"12","{CACHOEIRA}","{TER CENTRAL}",0.00361691841262239,0.213040585495675,0.0169776026676185,0.739932605005898,1601
"13","{JD ESPLANADA}","{TER CENTRAL}",0.00382476131953136,0.223409870678279,0.0171199298756105,0.775947208417552,1693
"14","{BARRETO}","{TER CENTRAL}",0.00579249144907171,0.336085987678595,0.0172351471392231,1.16729392097005,2564
"15","{UTFPR}","{SANTA MONICA}",0.0067774860948577,0.368550368550369,0.0183895789373805,6.87698643604554,3000
"16","{PRINC.C.CLAU}","{TER CENTRAL}",0.00537454647322215,0.274552798615118,0.0195756390039806,0.953576836161428,2379
"17","{MARINA}","{TER CENTRAL}",0.00634146782275518,0.317785576814219,0.0199551782252927,1.10373293022245,2807
"18","{PIMENTEL}","{TER CENTRAL}",0.00621269558695289,0.304574149961236,0.02039797398349,1.05784699978141,2750
"19","{PQ PINHEIROS}","{TER CENTRAL}",0.00642053849386186,0.277810361681329,0.0231112275834647,0.964891004867567,2842
"20","{TC-31 MARCO}","{TER CENTRAL}",0.00718413526054916,0.293900184842884,0.0244441331821201,1.02077418195475,3180
"21","{PALMEIRINHA}","{TER CENTRAL}",0.00524125591335662,0.201161883291425,0.0260549157106646,0.698675494086726,2320
"22","{GUAIRA}","{TER CENTRAL}",0.00912023712164684,0.25327812284334,0.0360087836219789,0.879685627930651,4037
"23","{N.SRA.GRACAS}","{TER CENTRAL}",0.00944781561623163,0.214858199753391,0.0439723297834367,0.746245543216607,4182
"24","{N.PITANGUI}","{TER CENTRAL}",0.016541584395516,0.373133567752128,0.0443315365464642,1.29596758363951,7322
"25","{Somente VT}","{TER CENTRAL}",0.0288449808197144,0.398987531639636,0.072295444173847,1.38576357628806,12768
