"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{VENDRAMI-TOF}","{DIST.INDUSTR}",0.000240111576011158,0.375436147941382,0.00063955369595537,21.9689122504285,538
"2","{VENDRAMI-TOF}","{TOF - TC}",0.00016557880055788,0.258897418004187,0.00063955369595537,3.71942080631709,371
"3","{CONCEICAO}","{Somente VT}",0.00123670850767085,0.218636578822787,0.00565645746164575,0.853569970178538,2771
"4","{MARACANÃ}","{Somente VT}",0.00123760111576011,0.208558965102286,0.00593405857740586,0.814226377769646,2773
"5","{VILA BELEM}","{Somente VT}",0.00181154811715481,0.236745406824147,0.00765188284518828,0.924267892092226,4059
"6","{JD. Giana}","{Somente VT}",0.00337495118549512,0.332644173668236,0.010145829846583,1.29866227749658,7562
"7","{BARAUNA}","{Somente VT}",0.002818410041841,0.271542827657379,0.0103792468619247,1.06011905488867,6315
"8","{S.GABR-INCOP}","{Somente VT}",0.00342449093444909,0.32687228422936,0.0104765411436541,1.2761284840996,7673
"9","{S.LUCIA-MEZO}","{Somente VT}",0.00302058577405858,0.212342735230446,0.0142250488145049,0.828998437288896,6768
"10","{PLR CENTRO}","{Somente VT}",0.0031544769874477,0.215022360135073,0.014670460251046,0.839459849383103,7068
"11","{BARRETO}","{Somente VT}",0.00574705718270572,0.373084166304505,0.0154041841004184,1.45654237008867,12877
"12","{DOM BOSCO}","{SANTA PAULA}",0.00339548117154812,0.218407303209508,0.0155465550906555,3.51255285496557,7608
"13","{BORSATO}","{Somente VT}",0.00340306834030683,0.214964337064081,0.0158308507670851,0.839233323925909,7625
"14","{PRINC.C.CLAU}","{Somente VT}",0.00452195258019526,0.266645612926996,0.0169586610878661,1.04100004262696,10132
"15","{PIMENTEL}","{Somente VT}",0.00537707112970711,0.313554028732042,0.0171487866108787,1.22413323696902,12048
"16","{MARINA}","{Somente VT}",0.00401004184100418,0.231036256106968,0.0173567642956764,0.901979034328142,8985
"17","{TC-31 MARCO}","{Somente VT}",0.00560825662482566,0.259789125491007,0.0215877266387727,1.01423191531826,12566
"18","{PQ PINHEIROS}","{Somente VT}",0.00675034867503487,0.269742473962049,0.025025160390516,1.05309036893727,15125
"19","{GUAIRA}","{Somente VT}",0.00680390516039052,0.235498571097552,0.0288914923291492,0.919400172611351,15245
"20","{N.PITANGUI}","{Somente VT}",0.0115226778242678,0.288540199825655,0.0399343933054393,1.12647778833075,25818
"21","{N.SRA.GRACAS}","{Somente VT}",0.00944602510460251,0.228009695663884,0.0414281729428173,0.890163165633813,21165
"22","{TER CENTRAL}","{Somente VT}",0.0172438493723849,0.227711801974363,0.0757266387726639,0.889000171275551,38637
